,,1/32 Set conversión A-4AR Trumpeter (Incl. rueda nariz),32430,  1/32,41000,Ver Foto,
,,Rueda Delantera A-4 Trumpeter,32465,  1/32,4900,Ver Foto,
,,,,,,,
Mirage,III/V,Nariz Dagger Italeri,32251,  1/32,8500,Ver Nariz,
,,Nariz Finger Italeri,32256,  1/32,8500,Ver Nariz,
,,Petalos Toberas Italeri,32211,  1/32,8700,Ver Foto,
Bombas,250,Usadas en Malvinas por la fuerza aerea,,,,,
Expal,,BR-250 Esc 1/32 (4u.),32060,  1/32,11000,Ver Foto,
,,BRP-250 Esc 1/32 (4u.),32061,  1/32,11000,Ver Foto,
,,,,,,,
,,Microset y Microsol Bases anti-derrame Impresas en PLA,33100,,2900,,
,,Soporte Aerógrafo,33200,,3100,,
,,,,,,,
,,Escala 1/48,,,,,
Bombas,Mk-17,Usadas en Malvinas por la fuerza aerea y la Armada,,,,,
,,Bombas Mk-17 1000lbs Esc 1/48(4u.),48010,  1/48,7900,Ver Foto,
,,Bombas Mk-17 500lbs Esc 1/48 (4u.) ,48011,  1/48,7900,Ver Foto,
Bombas,Snakeye,Usadas en Malvinas por la Armada,,,,,
,,Snakeye 1/48 (4u.),48021,  1/48,7900,Ver Foto,
Bombas,250,Usadas en Malvinas por la fuerza aerea,,,,,
,,BR-250 Esc 1/48 (4u.),48040,  1/48,7900,Ver Foto,
,,BRP-250 Esc 1/48 (4u.),48041,  1/48,7900,Ver Foto,
,,BRPS-250 Esc 1/48 (4u.),48042,  1/48,7900,Ver Foto,
,125,BR-125 Esc 1/48 (4u.),48043,  1/48,7900,Ver Foto,
,,BRP-125 Esc 1/48 (4u.),48044,  1/48,7900,Ver Foto,
,,BRPS-125 Esc 1/48 (4u.),48045,  1/48,7900,Ver Foto,
Napalm MK-77,,MK-77 (3),48055,  1/48,5900,Ver Foto,
,,,,,,,
Pucará,Set´s,IA - 58 Pucará,,,,,0.86
,,1/48 Coheteras Lau-61 C/a (4) ,48124,  1/48,9400,Ver Foto,0.31
,,1/48 Bombas Napalm Usadas En Malvinas (3),48125,  1/48,5900,Foto,
,,Set De Ruedas 1/48 Con Leve Aplastamiento X Peso,48126,  1/48,8300,Ver Foto,
,,,,,,,0.31
Mirage,,Mirage CIII / V,,,,,0.31
,Toberas,1/48 Tobera Salida Snecma Atar9c P/ Italeri/esci 3e/5 ,48202,  1/48,11500,Ver Foto,
,,1/48 Tobera Salida Snecma Atar9c P/ Kit Kinetic 3e/5 ,48203,  1/48,11500,Ver Foto,
,,Mirage F-1 1/48 Tobera Salida Atar 9h P/modelo Esci/italeri,48204,  1/48,11500,Ver Foto,
,Convers.,Conversión Mirage IIIc a IIIcj  P/Italeri/Esci,48205,  1/48,14600,Ver Foto,0.75
,,Conversión Mirage IIIc a IIIcj P/Heller,48206,  1/48,14600,Ver Foto,0.31
,,Conversión Mirage IIIc a IIIcj P/Hobby Boss,48207,  1/48,14600,Ver Foto,0.31
,,Conversión Mirage IIIc a IIIcj P/Eduard,48208,  1/48,14600,Ver Foto,
,,Conversión Mirage IIIc a IIIcj P/Academy,48209,  1/48,14600,Ver Foto,0.31
,Narices,,,,,,
,Dagger,Kinetic,48230,  1/48,6500,Foto Nariz,
,,Italeri/ Esci/ Heller,48231,  1/48,6500,Foto Nariz,
,,Hobby Boss,48232,  1/48,6500,Foto Nariz,
,,Eduard,48233,  1/48,6500,Foto Nariz,
,,Academy,48234,  1/48,6500,Foto Nariz,
,Finger, Kinetic,48237,  1/48,6500,Foto Finger,
,,Italeri / Esci / Heller,48238,  1/48,6500,Foto Finger,
,,Hobby Boss,48239,  1/48,6500,Foto Finger,
,,Eduard,48240,  1/48,6500,Foto Finger,
,Mara,Kinetic,48245,  1/48,6500,Foto Mara,
,,Italeri/Esci/Heller,48246,  1/48,6500,Foto Mara,
,,HBoss,48247,  1/48,6500,Foto Mara,
,,Eduard,48248,  1/48,6500,Foto Mara,
,Tanques,Set De Tanques 1300 Lts. (3 Tanques),48270,  1/48,20000,Tanq_1300,
,,Set De Tanques 1700 Lts. (2 Tanques),48271,  1/48,17000,Tanq_1700,
,Lanzad.,1/48 Estaciones 3y5 Para Bombas (2),48290,  1/48,6500,Foto,
,,Mirage 1/48 Lanzador de Bombas Doble Central,48291,  1/48,4700,Foto,
,Ruedas,1/48 Set De Ruedas En Resina P/Ital/Hboss/Eduard,48297,  1/48,6500,Ruedas,
,,1/48 Set De Ruedas En Resina P/Kinetic,48298,  1/48,6500,Ruedas_Kin,
,,,,,,,
Aermacchi,,Aermacchi 1/48,,,,,
,,Coheteras Lau-10  Mb 326/339 (2),48310,  1/48,7300,Foto,
,,Tanques Sub-Alares  Mb 326/339 (2),48311,  1/48,7100,Foto,
,,"Pods Porta Cañones 12,7 mm.  Mb 326 (2)",48312,  1/48,7300,Foto,
,,Pods Porta Cañones 30 mm.  Mb 339 (2),48313,  1/48,10500,Foto,
,,Set Tanques puntera alar (2),48314,  1/48,10500,Foto,
,,Intake MB-326 Italeri (2),48317,  1/48,5800,Foto,
,,Intake MB-326 Frems (2),48319,  1/48,5800,Foto,
,,,,,,,
Douglas,A-4,Douglas A-4,,,,,
,,Tanques externos Lanzables 300 Gal. (2 unid.),48410,  1/48,18000,Foto,
,,Tanque externo Lanzable 400 Gal. (1 unid.),48412,  1/48,9500,Foto,
,,Nariz A-4AR (hasegawa),48420,  1/48,7800,Foto,
,Conversiones,1/48 Set conversión A-4AR hasegawa (incl. rueda nariz),48425,  1/48,27000,Foto,
,,Conversion Set TA4-J to OA4-AR(for Hasegawa) w/nose wheel,48426,  1/48,42000,Foto,
,,1/48 Set conversión A-4AR HobbyBoss (incl. rueda nariz),48428,  1/48,27000,Foto,
,,Guias base Timones de Profundidad,48434,  1/48,4000,Foto,
,,Rueda Delantera A-4 Hasegawa,48462,  1/48,3700,Foto,
,,,,,,,
Misiles,,Exocet + Pilón Lanzador,48610,  1/48,7300,Foto,
,,Matra R-530 + Pilón lanzador,48611,  1/48,7100,Foto,
,,Matra Magic R-550(2) + Lanzadores inclinados (2),48612,  1/48,12500,Foto,
,,,,,,,
Lanzadores,,Ters 1/48 (triple Eyector Racks) Porta Bombas (por 2),48710,  1/48,11000,Foto,
,,Mers 1/48 (multiple Eyector Racks) Porta Bombas,48711,  1/48,6800,Foto,
,,,,,,,
Tie-Down,,Carrier Tie-Down Puntos de amarre cub. Portaviones,48725,  1/48,8100,Foto,
,,,,,,,
Hercules C-130,,Hercules C-130,,,,,
,,Sistema Lanzador Bombas C-130 (TC68),48751,  1/48,29000,Foto,
,,C-130 Set de Ruedas (6),48770,  1/48,11000,Foto,
,,Capot Largo motores (1/48) C-130H,48790,  1/48,23000,Foto,
,,Capot Largo motores+Conos y Palas (1/48) C-130H,48792,  1/48,35500,Foto,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Escala 1/72,,,,,
Bombas,Mk-17,Usadas en Malvinas por la fuerza aerea y la Armada,,,,,
,,Bombas Mk-17 1000lbs Esc 1/72 (4u.) ,72002,  1/72,7100,Ver Foto,
,,Bombas Mk-17 500lbs Esc 1/72 (4u.) ,72003,  1/72,7100,Ver Foto,
Bombas,Snakeye,Usadas en Malvinas por la Armada,,,,,
,,Snakeye 1/72 (4u.),72020,  1/72,7100,Ver Foto,
Bombas,Expal,Usadas en Malvinas por la fuerza aerea,,,,,
,250,BR-250 Esc 1/72  (4u.),72030,  1/72,7100,Ver Foto,
,,BRP-250 Esc 1/72  (4u.),72031,  1/72,7100,Ver Foto,
,,BRPS-250 Esc 1/72  (4u.),72032,  1/72,7100,Ver Foto,0.11
,125,BR-125 Esc 1/72  (4u.),72033,  1/72,7100,Ver Foto,0.67
,,BRP-125 Esc 1/72  (4u.),72034,  1/72,7100,Ver Foto,
,,BRPS-125 Esc 1/72  (4u.),72035,  1/72,7100,Ver Foto,
,,,,,,,0.3
Pucará,Set´s,IA - 58 Pucará,,,,,
,,1/72 Pilón Central,72100,  1/72,4200,Foto,
,,Tanque Expulsable (drop Tank),72101,  1/72,4700,Foto,1.05
,,1/72 Bombas Napalm Usadas En Malvinas (3),72102,  1/72,5100,Foto,
,,1/72 Coheteras Lau-61 C/a (4) Y Lanzadores Triples (2),72103,  1/72,13000,Foto,1.024
,,1/72 Set De Mejoras P/ Kit De Special Hobby O Airfix,72106,  1/72,17000,Foto,
,,Set De Ruedas 1/72 Con Leve Aplastamiento X Peso,72107,  1/72,7300,Ver Foto,
,,,,,,,
Mirage,,Mirage CIII / V,,,,,
,Toberas,1/72 Tobera Salida Snecma Atar9c P/ Kit Heller,72200,  1/72,10500,Ver Foto,
,,1/72 Tobera Salida Snecma Atar9c P/ Kit High Plane,72201,  1/72,10500,Ver Foto,
,Narices,Nariz Dagger P/kit Esci/italeri,72220,  1/72,5900,Foto Nariz,
,,Nariz Dagger P/kit De Heller ,72221,  1/72,5900,Foto Nariz,
,,Nariz Dagger P/kit De Modelvit,72222,  1/72,5900,Foto Nariz,
,,Nariz Mara P/kit Esci/italeri,72225,  1/72,5900,Foto Mara,
,,Nariz Mara P/kit De Heller ,72226,  1/72,5900,Foto Mara,
,,Nariz Mara P/kit De Modelvit,72227,  1/72,5900,Foto Mara,
,Tanques,Set De Tanques 1300lts (3)+pilones,72260,  1/72,17000,Tanq_1300,
,,Set De Tanques 1700 Lts(2)+ Pilones,72261,  1/72,14600,Tanq_1700,
,Lanzadores,1/72 Estaciones 3y5 Para Bombas (2),72280,  1/72,5100,Foto,
,,Mirage 1/72 Lanzador de Bombas Doble Central,72281,  1/72,4300,Foto,
,Ruedas,1/72 Set De Ruedas En Resina,72299,  1/72,6300,Ruedas,
,,,,,,,
Super Etendard,,Tanque ventral (c/pilón),72265,  1/72,6300,Foto,
,,,,,,,
Aermacchi,,Aermacchi 1/48,,,,,
,,Coheteras Lau-10  Mb 326/339  (2),72300,  1/72,6800,Foto,
,,Tanques Sub-Alares  Mb 326/339 (2),72301,  1/72,6600,Foto,
,,"Pods Porta Cañones 12,7 mm.  Mb 326 (2)",72302,  1/72,6800,Foto,
,,Pods Porta Cañones 30 mm.  Mb 339 (2),72303,  1/72,9400,Foto,
,,Set Tanques puntera alar (2),72304,  1/72,8200,Foto,
,,,,,,,
Douglas,A-4,Douglas A-4,,,,,
,,Tanques externos Lanzables 300 Gal. (2 unid.),72400,  1/72,15000,Foto,
,,Tanque externo Lanzable 400 Gal. (1 unid.),72415,  1/72,7700,Foto,
,,Guias base Timones Profundidad,72436,  1/72,3500,Foto,
,Convers.,1/72 Set conversión A-4AR (P/Fujimi/Hobby2000),72440,  1/72,21000,Foto,
,,1/72 Set conversión OA-4AR (P/Fujimi/Hobby2000) ,72441,  1/72,24000,Foto,
,,1/72 Set conversión A-4AR (P/Hboss),72443,  1/72,21000,Foto,
,,,,,,,
,,,,,,,
,Misiles,Exocet + Pilón Lanzador,72600,  1/72,6700,Foto,
,,Matra R-530 + Pilón lanzador,72601,  1/72,6600,Foto,
,,Matra Magic R-550(2) + Lanzadores inclinados (2),72602,  1/72,11500,Foto,
,,,,,,,
,Lanzadores,Ters 1/72 (triple Eyector Racks) Porta Bombas (por 2),72700,  1/72,9700,Foto,
,,Mers 1/72(multiple Eyector Racks) Porta Bombas,72701,  1/72,5900,Foto,
,,,,,,,
Hercules,,Hercules C-130,,,,,
,,Sistema Lanzador Bombas C-130 (TC68),72702,  1/72,24000,Foto,
,,Capot Largo motores (1/72) C-130H,72710,  1/72,17000,Foto,
,,Capot Largo motores+Conos y Palas (1/72) C-130H,72712,  1/72,29000,Foto,
,,C-130 Set de Ruedas (6),72773,  1/72,9800,Foto,
,,,,,,,
Tie Down,,Carrier Tie-Down Puntos de amarre cub. Portaviones,72720,  1/72,6700,Foto,
,,,,,,,
